	Time	Time (s)	Logger Temperature [�F]	External Voltage [V]	Channel01 [mV]	Channel02 [mV]	Channel03 [mV]	Channel04 [mV]	Channel05 [mV]	Channel06 [mV]	Channel07 [mV]	Channel08 [mV]	InlineAcc [g]	LateralAcc [g]	VerticalAcc [g]	RollRate [deg/s]	PitchRate [deg/s]	YawRate [deg/s]	ECU_RPM [rpm]	EX_TEMP_2 [�F]	EX_TEMP_1 [�F]	ECU_GEAR [gear]	ECU_WH_SP_FL [mph]	ECU_WH_SP_RL [mph]	ECU_WH_SP_RR [mph]	ECU_WH_SP_FR [mph]	ECU_ECT [�F]	ECU_EXH_T [�F]	ECU_OIL_T [�F]	ECU_GBOX_T [�F]	ECU_IAT [�F]	ECU_AIR_T [�F]	ECU_AMB_T [�F]	ECU_FUEL_T [�F]	ECU_OIL_P [bar]	BRK_PRESS_F [bar]	BRK_PRESS_R [bar]	ECU_FUEL_P [bar]	ECU_BOOST_AIM [bar]	ECU_BOOST_P [bar]	ECU_AMB_P [bar]	COOL_PRESS [bar]	STEER_PRESS [bar]	ECU_MAP [bar]	IGN_CY8_TRIM_KNK [deg]	ECU_IGN_TIME [deg]	ECU_EX_CM_P2 [deg]	ECU_IN_CM_P2 [deg]	ECU_EX_CM_P1 [deg]	ECU_IN_CM_AIM [deg]	ECU_IN_CM_P1 [deg]	ECU_EX_CM_AIM [deg]	ECU_FUEL_TIME [deg]	IGN_CY1_TRIM_KNK [deg]	IGN_CY2_TRIM_KNK [deg]	IGN_CY3_TRIM_KNK [deg]	IGN_CY4_TRIM_KNK [deg]	IGN_CY5_TRIM_KNK [deg]	IGN_CY6_TRIM_KNK [deg]	IGN_CY7_TRIM_KNK [deg]	ECU_THROTTLE [%]	ECU_PEDAL_POS [%]	FUEL_CLOSE_LOOP1 [%]	FUEL_CLOSE_LOOP2 [%]	ECU_IN_CM_D2 [%]	ECU_ENG_LOAD_AVG [%]	ECU_EX_CM_D1 [%]	ECU_EX_CM_D2 [%]	ECU_FUE_IJ_DY [%]	ECU_ENG_EFICY [%]	ECU_IN_CM_D1 [%]	ECU_CY1_KNK [%]	ECU_CY2_KNK [%]	ECU_CY3_KNK [%]	ECU_CY4_KNK [%]	ECU_CY5_KNK [%]	ECU_CY6_KNK [%]	ECU_CY8_KNK [%]	ECU_IGN_O_LV [%]	ECU_FUE_O_LV [%]	FUEL_COMPOSITION [%]	ECU_BOOST_DTY [%]	ECU_ENG_RUN [ms]	ENG_RUN_TIME_TOT [ms]	ECU_V_BATT [V]	ECU_FUEL [l]	ECU_FUEL_USED [l]	ECU_FUEL_LEV [l]	EXHAUST_LAMBDA_1 [lambda]	EXHAUST_LAMBDA [lambda]	EXHAUST_LAMBDA_2 [lambda]	ECU_FUEL_MIX [lambda]	ECU_ENGINE_LOAD [#]	ECU_GEAR_LV [#]	ECU_IGN_CUT_REQ [#]	ECU_IGN_TIME_ST [#]	LAUNCH_STATE [#]	ANTI_LAG_STATE [#]	ECU_FUE_O_CN [#]	ECU_IGN_O_CN [#]	ECU_CY7_KNK [#]	WARNING_FLAG1 []	WARNING_FLAG2 []	
		0.000	113.337	10.568	-33.750	-44.031	-43.031	-43.313	-45.469	-44.000	-44.594	-43.688	-0.000	0.043	-0.997	-0.318	-0.285	-0.780	0.000	11828.300	11828.300	-2.000	4072.156	4072.156	4072.156	4072.156	174.200	11828.300	-0.400	491.000	95.000	419.000	419.000	86.000	0.868	327.670	327.670	65.535	0.000	0.000	1.016	32.767	32.767	1.016	0.000	10.000	3276.700	-3276.700	3276.700	0.000	-3276.700	0.000	-6253.600	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	100.000	100.000	0.000	0.000	0.000	0.000	0.000	7.000	0.000	255.000	255.000	255.000	255.000	255.000	255.000	255.000	0.000	0.000	-0.000	0.000	0.000	54719956.000	12.300	0.000	1.260	255.000	0.500	0.500	2.550	1.080	118.000	622.300	1.000	0.000	0.000	0.000	0.000	0.000	255.000	6.000	0.000	
		0.020	113.337	10.575	-33.750	-44.031	-43.031	-43.313	-45.469	-44.000	-44.594	-43.688	-0.000	0.043	-0.998	-0.319	-0.288	-0.769	0.000	11828.300	11828.300	-2.000	4072.156	4072.156	4072.156	4072.156	174.200	11828.300	-0.400	491.000	95.000	419.000	419.000	86.000	0.868	327.670	327.670	65.535	0.000	0.000	1.016	32.767	32.767	1.016	0.000	10.000	3276.700	-3276.700	3276.700	0.000	-3276.700	0.000	-6253.600	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	100.000	100.000	0.000	0.000	0.000	0.000	0.000	7.000	0.000	255.000	255.000	255.000	255.000	255.000	255.000	255.000	0.000	0.000	-0.000	0.000	0.000	54719956.000	12.300	0.000	1.260	255.000	0.500	0.500	2.550	1.080	118.000	622.300	1.000	0.000	0.000	0.000	0.000	0.000	255.000	6.000	0.000	
		0.040	113.337	10.582	-33.750	-44.031	-43.031	-43.313	-45.469	-44.000	-44.594	-43.688	-0.001	0.041	-0.998	-0.316	-0.287	-0.767	0.000	11828.300	11828.300	-2.000	4072.156	4072.156	4072.156	4072.156	174.200	11828.300	-0.400	491.000	95.000	419.000	419.000	86.000	0.868	327.670	327.670	65.535	0.000	0.000	1.016	32.767	32.767	1.016	0.000	10.000	3276.700	-3276.700	3276.700	0.000	-3276.700	0.000	-6253.600	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	100.000	100.000	0.000	0.000	0.000	0.000	0.000	7.000	0.000	255.000	255.000	255.000	255.000	255.000	255.000	255.000	0.000	0.000	-0.000	0.000	0.000	54719956.000	12.300	0.000	1.260	255.000	0.500	0.500	2.550	1.080	118.000	622.300	1.000	0.000	0.000	0.000	0.000	0.000	255.000	6.000	0.000	
		0.060	113.337	10.589	-33.750	-44.031	-43.031	-43.313	-45.469	-44.000	-44.594	-43.688	-0.001	0.041	-0.998	-0.306	-0.283	-0.773	0.000	11828.300	11828.300	-2.000	4072.156	4072.156	4072.156	4072.156	174.200	11828.300	-0.400	491.000	95.000	419.000	419.000	86.000	0.868	327.670	327.670	65.535	0.000	0.000	1.016	32.767	32.767	1.016	0.000	10.000	3276.700	-3276.700	3276.700	0.000	-3276.700	0.000	-6253.600	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	100.000	100.000	0.000	0.000	0.000	0.000	0.000	7.000	0.000	255.000	255.000	255.000	255.000	255.000	255.000	255.000	0.000	0.000	-0.000	0.000	0.000	54719956.000	12.300	0.000	1.260	255.000	0.500	0.500	2.550	1.080	118.000	622.300	1.000	0.000	0.000	0.000	0.000	0.000	255.000	6.000	0.000	
		0.080	113.337	10.596	-33.750	-44.031	-43.031	-43.313	-45.469	-44.000	-44.594	-43.688	-0.001	0.043	-0.998	-0.299	-0.283	-0.787	0.000	11828.300	11828.300	-2.000	4072.156	4072.156	4072.156	4072.156	174.200	11828.300	-0.400	491.000	95.000	419.000	419.000	86.000	0.868	327.670	327.670	65.535	0.000	0.000	1.016	32.767	32.767	1.016	0.000	10.000	3276.700	-3276.700	3276.700	0.000	-3276.700	0.000	-6253.600	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	100.000	100.000	0.000	0.000	0.000	0.000	0.000	7.000	0.000	255.000	255.000	255.000	255.000	255.000	255.000	255.000	0.000	0.000	-0.000	0.000	0.000	54719956.000	12.300	0.000	1.260	255.000	0.500	0.500	2.550	1.080	118.000	622.300	1.000	0.000	0.000	0.000	0.000	0.000	255.000	6.000	0.000	
		0.100	113.337	10.603	-33.750	-44.031	-43.031	-43.313	-45.469	-44.000	-44.591	-43.685	-0.001	0.043	-0.998	-0.299	-0.289	-0.800	0.000	11828.300	11828.300	-2.000	4072.156	4072.156	4072.156	4072.156	174.200	11828.300	-0.400	491.000	95.000	419.000	419.000	86.000	0.868	327.670	327.670	65.535	0.000	0.000	1.016	32.767	32.767	1.016	0.000	10.000	3276.700	-3276.700	3276.700	0.000	-3276.700	0.000	-6253.600	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	100.000	100.000	0.000	0.000	0.000	0.000	0.000	7.000	0.000	255.000	255.000	255.000	255.000	255.000	255.000	255.000	0.000	0.000	-0.000	0.000	0.000	54719956.000	12.300	0.000	1.260	255.000	0.500	0.500	2.550	1.080	118.000	622.300	1.000	0.000	0.000	0.000	0.000	0.000	255.000	6.000	0.000	
		0.120	113.337	10.610	-33.750	-44.031	-43.031	-43.313	-45.469	-44.000	-44.531	-43.628	-0.000	0.043	-0.997	-0.301	-0.300	-0.808	0.000	11828.300	11828.300	-2.000	4072.156	4072.156	4072.156	4072.156	174.200	11828.300	-0.400	491.000	95.000	419.000	419.000	86.000	0.868	327.670	327.670	65.535	0.000	0.000	1.016	32.767	32.767	1.016	0.000	10.000	3276.700	-3276.700	3276.700	0.000	-3276.700	0.000	-6253.600	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	100.000	100.000	0.000	0.000	0.000	0.000	0.000	7.000	0.000	255.000	255.000	255.000	255.000	255.000	255.000	255.000	0.000	0.000	-0.000	0.000	0.000	54719956.000	12.300	0.000	1.260	255.000	0.500	0.500	2.550	1.080	118.000	622.300	1.000	0.000	0.000	0.000	0.000	0.000	255.000	6.000	0.000	
		0.140	113.337	10.617	-33.750	-44.031	-43.031	-43.313	-45.469	-44.000	-44.468	-43.569	-0.000	0.043	-0.998	-0.300	-0.309	-0.801	0.000	11828.300	11828.300	-2.000	4072.156	4072.156	4072.156	4072.156	174.200	11828.300	-0.400	491.000	95.000	419.000	419.000	86.000	0.868	327.670	327.670	65.535	0.000	0.000	1.016	32.767	32.767	1.016	0.000	10.000	3276.700	-3276.700	3276.700	0.000	-3276.700	0.000	-6253.600	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	100.000	100.000	0.000	0.000	0.000	0.000	0.000	7.000	0.000	255.000	255.000	255.000	255.000	255.000	255.000	255.000	0.000	0.000	-0.000	0.000	0.000	54719956.000	12.300	0.000	1.260	255.000	0.500	0.500	2.550	1.080	118.000	622.300	1.000	0.000	0.000	0.000	0.000	0.000	255.000	6.000	0.000	
		0.160	113.337	10.624	-33.730	-43.977	-43.126	-43.295	-45.390	-43.993	-44.310	-43.581	-0.001	0.042	-0.998	-0.298	-0.310	-0.787	0.000	11828.300	11828.300	-2.000	4072.156	4072.156	4072.156	4072.156	174.200	11828.300	-0.400	491.000	95.000	419.000	419.000	86.000	0.868	327.670	327.670	65.535	0.000	0.000	1.016	32.767	32.767	1.016	0.000	10.000	3276.700	-3276.700	3276.700	0.000	-3276.700	0.000	-6253.600	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	100.000	100.000	0.000	0.000	0.000	0.000	0.000	7.000	0.000	255.000	255.000	255.000	255.000	255.000	255.000	255.000	0.000	0.000	-0.000	0.000	0.000	54719956.000	12.300	0.000	1.260	255.000	0.500	0.500	2.550	1.080	118.000	622.300	1.000	0.000	0.000	0.000	0.000	0.000	255.000	6.000	0.000	
		0.180	113.337	10.631	-33.696	-43.887	-43.283	-43.265	-45.259	-43.982	-44.088	-43.637	-0.001	0.042	-0.998	-0.296	-0.305	-0.775	0.000	11828.300	11828.300	-2.000	4072.156	4072.156	4072.156	4072.156	174.200	11828.300	-0.400	491.000	95.000	419.000	419.000	86.000	0.868	327.670	327.670	65.535	0.000	0.000	1.016	32.767	32.767	1.016	0.000	10.000	3276.700	-3276.700	3276.700	0.000	-3276.700	0.000	-6253.600	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	100.000	100.000	0.000	0.000	0.000	0.000	0.000	7.000	0.000	255.000	255.000	255.000	255.000	255.000	255.000	255.000	0.000	0.000	-0.000	0.000	0.000	54719956.000	12.300	0.000	1.260	255.000	0.500	0.500	2.550	1.080	118.000	622.300	1.000	0.000	0.000	0.000	0.000	0.000	255.000	6.000	0.000	
		0.200	113.337	10.638	-33.661	-43.796	-43.452	-43.215	-45.120	-43.966	-43.868	-43.719	-0.001	0.043	-0.998	-0.294	-0.301	-0.764	0.000	11828.300	11828.300	-2.000	4072.156	4072.156	4072.156	4072.156	174.200	11828.300	-0.400	491.000	95.000	419.000	419.000	86.000	0.868	327.670	327.670	65.535	0.000	0.000	1.016	32.767	32.767	1.016	0.000	10.000	3276.700	-3276.700	3276.700	0.000	-3276.700	0.000	-6253.600	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	100.000	100.000	0.000	0.000	0.000	0.000	0.000	7.000	0.000	255.000	255.000	255.000	255.000	255.000	255.000	255.000	0.000	0.000	-0.000	0.000	0.000	54719956.000	12.300	0.000	1.260	255.000	0.500	0.500	2.550	1.080	118.000	622.300	1.000	0.000	0.000	0.000	0.000	0.000	255.000	6.000	0.000	
		0.220	113.337	10.645	-33.612	-43.691	-43.718	-42.991	-44.915	-43.910	-43.672	-44.037	-0.001	0.044	-0.997	-0.296	-0.303	-0.753	0.000	11828.300	11828.300	-2.000	4072.156	4072.156	4072.156	4072.156	174.200	11828.300	-0.400	491.000	95.000	419.000	419.000	86.000	0.868	327.670	327.670	65.535	0.000	0.000	1.016	32.767	32.767	1.016	0.000	10.000	3276.700	-3276.700	3276.700	0.000	-3276.700	0.000	-6253.600	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	100.000	100.000	0.000	0.000	0.000	0.000	0.000	7.000	0.000	255.000	255.000	255.000	255.000	255.000	255.000	255.000	0.000	0.000	-0.000	0.000	0.000	54719956.000	12.300	0.000	1.260	255.000	0.500	0.500	2.550	1.080	118.000	622.300	1.000	0.000	0.000	0.000	0.000	0.000	255.000	6.000	0.000	
